               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.019913,            0.010991,                   0,             0.65372,             0.35361,             0.39896,             0.20089,            0.053678,            0.018298,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.019792,            0.010839,                   0,             0.68108,             0.34738,             0.40416,              0.2107,            0.052845,            0.018508,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.019883,            0.010735,                   0,             0.67119,             0.34653,             0.40651,             0.20975,            0.052354,            0.018617,                   0,            0.003532,            0.003532,            0.003532
                 100,             0.01964,            0.010697,                   0,             0.68056,             0.33946,             0.39985,             0.20952,            0.053165,            0.018948,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.019537,             0.01062,                   0,             0.67678,             0.34936,             0.40241,             0.21063,            0.053392,            0.018463,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.019295,            0.010543,                   0,             0.69826,             0.34936,             0.40161,             0.20912,            0.052996,            0.018833,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.019457,             0.01076,                   0,             0.67349,             0.36068,             0.42279,             0.21573,            0.052806,            0.018234,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.019199,            0.010358,                   0,             0.68834,             0.34653,              0.4031,             0.20983,            0.053579,            0.018679,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.019332,            0.010718,                   0,             0.69853,             0.34229,             0.40433,             0.21228,            0.054021,            0.018607,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.019158,            0.010556,                   0,             0.69391,             0.33946,             0.39822,             0.21049,            0.053302,            0.018909,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.019191,            0.010535,                   0,             0.70258,             0.33239,             0.40623,             0.21368,            0.053321,            0.019309,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.018687,            0.010427,                   0,             0.69514,              0.3322,             0.40078,             0.20767,            0.053732,            0.019114,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.018513,            0.010306,                   0,             0.69218,             0.34371,             0.39614,             0.20573,            0.053299,            0.018859,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.018556,            0.010078,                   0,             0.68587,             0.33353,             0.38737,             0.20769,            0.053283,            0.018946,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.018286,           0.0098809,                   0,             0.68018,             0.32956,             0.39882,             0.20781,            0.053175,            0.019174,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.018299,           0.0099482,                   0,             0.68058,             0.33151,             0.39943,             0.20997,            0.053128,            0.019188,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.018295,           0.0099701,                   0,             0.68036,              0.3338,             0.39784,             0.21198,            0.053307,            0.019296,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.017944,           0.0098065,                   0,             0.68961,             0.34229,             0.40673,             0.21421,            0.053507,            0.018995,                   0,            0.002542,            0.002542,            0.002542
                 115,             0.01808,           0.0099909,                   0,             0.69222,             0.34371,             0.41779,              0.2202,            0.053553,            0.018945,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.017844,           0.0098878,                   0,             0.69185,             0.34229,             0.41239,             0.21592,            0.053983,            0.019267,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.017777,           0.0098362,                   0,             0.68437,             0.34936,             0.41738,             0.22028,            0.053883,            0.019116,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.017657,           0.0098234,                   0,             0.72094,             0.33618,             0.41037,             0.21748,            0.053784,            0.019571,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.017577,           0.0097283,                   0,             0.70188,             0.33663,             0.41081,             0.22018,            0.053251,            0.019487,                   0,            0.002212,            0.002212,            0.002212
